[1029.000000, 0.942478],
[646.000000, 1.151917],
[1022.000000, 0.942478],
[247.000000, 1.989675],
[153.000000, 1.884956],
[786.000000, 0.104720],
[789.000000, 0.104720],
[342.000000, 2.199115],
[556.000000, 1.151917],
[-141.000000, 2.932153],
[790.000000, 1.047198],
[299.000000, 2.094395],
[564.000000, 1.151917],
[916.000000, 0.942478],
[781.000000, 0.104720],
[467.000000, 1.256637],
[474.000000, 1.256637],
[904.000000, 1.047198],
[403.000000, 1.570796],
[829.000000, 0.942478],
[-301.000000, 3.036873],
[610.000000, 0.000000],
[926.000000, 0.942478],
[582.000000, 0.000000],
[554.000000, 1.151917],
[-299.000000, 3.036873],
[797.000000, 1.047198],
[-80.000000, 2.932153],
[560.000000, 1.151917],
[488.000000, 1.151917],
[494.000000, 0.000000],
[754.000000, 1.151917],
[483.000000, 0.000000],
[541.000000, 1.256637],
[535.000000, 1.256637],
[1099.000000, 0.837758],
[541.000000, 0.942478],
[614.000000, 0.000000],
[794.000000, 1.047198],
[537.000000, 1.256637],
[784.000000, 1.047198],
[-408.000000, 3.036873],
[770.000000, 1.151917],
[328.000000, 2.408555],
[411.000000, 2.303835],
[1102.000000, 0.942478],
[869.000000, 0.104720],
[1014.000000, 0.837758],
[498.000000, 0.000000],
[732.000000, 0.000000],
[763.000000, 1.151917],
[502.000000, 1.047198],
[294.000000, 2.094395],
[-370.000000, 2.617994],
[720.000000, 1.989675],
[920.000000, 1.047198],
[521.000000, 1.256637],
[1003.000000, 1.047198],
[-406.000000, 3.036873],
[543.000000, 1.256637],
[1092.000000, 0.942478],
[931.000000, 0.523599],
[919.000000, 0.837758],
[1100.000000, 0.942478],
[607.000000, 0.000000],
[646.000000, 0.733038],
[970.000000, 0.628319],
[244.000000, 2.199115],
[286.000000, 1.570796],
[1096.000000, 0.837758],
[-505.000000, 3.036873],
[-303.000000, 3.036873],
[228.000000, 1.884956],
